Issue key,Issue id,Custom field (Exposure),Summary,Reporter,Created,Custom field (Customer Name),Custom field (State Reason),Component/s,Component/s,Custom field (Closed Reason),Status,Custom field (Found in build),Custom field (Fix in Build),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Assignee,Custom field (Root Cause),Resolution
WIFI-800123,2959364,2-High,"[Lenovo][Kailash][PTL/BE211][25H2]Recoverable assert 0x2010351E occurred when doing ""MS<-->Resume Ping"" stress test",caizhiqi,09/Dec/25 11:02 AM,Lenovo - IdeaPad,Fixed,WinDriver->Performance,,,Closed,24.0.2.1,CRWFW12045_99.0.103.4 MHWFW00385_24.20.0.4,Whale Peak 2 Scorpius (BE211),,,,,,,,24.20_Planned,24.20_Rev3,LenovoFocus,LenovoPTLFocus,windrv_tccb_review_done,,,,,P1-Stopper,caizhiqi,"Description: The race is as follows
Start conditions: tid T for peer P has a valid back aggrement with drv baid DB and fw baid FB
Delba is received for T over P.
delba sync cmd is sent to FW
FW removed FB
core X and core Y handle the delba sync notification at the same time
both getting to rxAggMgrInvalidateStateForBaidApi at the same time.
each stores pAggMgrContext->rxAggMgrBaidIndexTable[baidIndex].delbaStatePerQueueBitmap in a local memory region before the second core reset the bit.
(so in this scenario, both holding the value 3)
each of them is seeing the he is not the last queue, and assumes that the another sync notif will arrive soon and will invalidate the baid entry.
leading to a scenario where the ent",Fixed
WIFI-796164,2951176,2-High,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect when doing MS test,caizhiqi,02/Dec/25 5:53 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.1.3/24.0.2.1,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,24.10.3.5_Lenovo,LenovoFocus,LenovoPTLFocus,postM_noTask,,,,,,P1-Stopper,caizhiqi,"We disconnect from APs that don't send beacons unless we still have
traffic. In case there is no traffic, we'll disconnect after 4 missed
beacons, In order to create traffic, send an NDP (using the keep alive infra) to
clear the consecMissedBconsSinceLastRxFromAP counter in case the NDP is
ACK'ed.",Fixed
WIFI-795954,2950794,1-Critical,"[Lenovo-Ideapad][YOGA9P 16][PTL][25H2]0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",caizhiqi,02/Dec/25 10:04 AM,Lenovo - IdeaPad,Fixed,System->PHY,,,Closed,SIT,MHWFW00335_24.20.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,24.20_Rev2,LenovoFocus,LenovoPTLFocus,,,,,,,P2-High,caizhiqi,retry of PLL lock,Fixed
WIFI-795918,2950778,1-Critical,"[Lenovo][Kailash][PTL/BE211][25H2]0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test",caizhiqi,02/Dec/25 9:54 AM,Lenovo - IdeaPad,Fixed,System->PHY,,,Closed,24.10.1.3,MHWFW00335_24.20.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,24.20_Rev2,LenovoFocus,LenovoPTLFocus,,,,,,,P2-High,caizhiqi,retry of pll lock,Fixed
WIFI-781567,2915399,1-Critical,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect from 2.4G AP when plug-in a specific 2.4G wireless ROG keyboard,caizhiqi,06/Nov/25 5:15 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.0.2.1,CRWFW11899_99.0.102.6,Whale Peak 2 Scorpius (BE211),,,,,,,,24.20_Planned,LenovoPTLFocus,postM_noTask,,,,,,,P2-High,caizhiqi,couldn't hear the beacon - requirement changed,Fixed
WIFI-759476,2861251,1-Critical,[Lenovo-Ideapad][YOGA9P 16][PTL][25H2]WIFI YB(0x508 & 4009) when idle. (Fail Rate: 6/220 units),caizhiqi,28/Sep/25 9:59 AM,Lenovo - IdeaPad,Fixed,TOP->STEP,,,Closed,Fvt,CRWFW11838_99.0.102.4 MHWFW00209_24.10.0.3,Whale Peak 2 Scorpius (BE211),,,,,,,,24.10.0_planned,LenovoPTLFocus,,,,,,,,P1-Stopper,caizhiqi,"Root Cause:  TOP-15910
The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status.",Fixed
WIFI-750602,2838091,1-Critical,[Lenovo][Kailash][PTL/BE211][25H2]wifi suddenly cannot search any HB AP until radio off/on manually,caizhiqi,10/Sep/25 2:29 PM,Lenovo - IdeaPad,Fixed,FW->PHY,,,Closed,23.165.0.5,"MHWFW00120_24.10.0.1, MHWFW00133_24.0.1.1",Whale Peak 2 Scorpius (BE211),,,,,,,,24.0.1_approved,LenovoPTLFocus,,,,,,,,P2-High,caizhiqi,same as WIFI-751329,Fixed
WIFI-746160,2828200,2-High,"[Lenovo ldeaPad/Consumer][LCFC][ARL-HX][BE200][Legion Pro 7 16IAX10H]Intel BE200 WLAN units do not display Wi-Fi7 mode after AP switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)",caizhiqi,03/Sep/25 10:50 AM,Lenovo - IdeaPad,Fixed,WinDriver->Connectivity,,,Closed,25H2 OS Refresh SIT,CRWFW11651_99.0.101.1,Fillmore Peak 2 Blazar (BE201),Gale Peak 2 (BE200),,,,,,,windrv_tccb_review_done,,,,,,,,,P2-High,caizhiqi,"Due to AP misbehavior of reporting Wifi7 IEs while being set as Wifi6 mode, we marked it as misbehaving and connected in HE mode.
",Fixed
WIFI-742498,2819298,2-High,"[Lenovo_IdeaPad][WenchangⅡ][LCFC][LNL][SIT][25H2][BE201][0x20100505]Intel Wi-Fi 7 BE201 show yellow bang when resume from MS.(F/R:1/2 units,2/40 cycles)",caizhiqi,28/Aug/25 10:46 AM,Lenovo - IdeaPad,Fixed,TOP->STEP,,,Closed,25H2 OS Refresh SIT,SBHWFW02424_23.160.1.2,Fillmore Peak 2 Blazar (BE201),,,,,,,,,,,,,,,,,P2-High,caizhiqi,"One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
",Fixed
WIFI-739243,2811810,1-Critical,[Lenovo][LCFC][Daisy][ARL][FmP][0x20100505] BE201 YB  after S0i3 at 0 degree C Test ,timdaway,22/Aug/25 5:55 PM,Lenovo - ThinkPad JP,Fixed,TOP->STEP,,,Closed,SIT,SBHWFW02424_23.160.1.2,Fillmore Peak 2 Blazar (BE201),,,,,,,,,,,,,,,,,P2-High,timdaway,"The CNVio3 interface transitions from full power to low power and back might cause PHY errors, mainly in low temp, triggering Assert 0x505
Fix:
Eliminate transitions of CNVio3 to low power during S0i3 (included in FSEQ 0.0.4.201)",Fixed
WIFI-739113,2811517,1-Critical,[Lenovo][Huaqin][PTL][BE213][S511_14_16][0x21100505]WLAN YB & BT lost (auto recover several times but finally YB) when idle or playing online video. (FR:4/12UUTs),caizhiqi,22/Aug/25 12:28 PM,Lenovo - IdeaPad,Fixed,TOP->STEP,,,Closed,WLAN driver:23.165.0.4   BT driver:23.165.0.8,CRWFW12319_24.40.0.2,Spider Peak 2 Scorpius (BE213),,,,,,,,24.0.2_planned,24.40_Rev#2,9.6,DCR‑3540,LenovoPTLFocus,,,,,P1-Stopper,caizhiqi,"SW will set by default CNViO3 frequency to 9.6 GHz
Assert 0x505 is treated as non-fatal",Fixed
WIFI-723912,2775632,2-High,[Lenovo][Field][Thinkpad JP][T14 GEN5][MTL][AX211]--Intel AX211 WiFi hit to Limited Network Connection after driver Ver 23.110/23.130/23.150,timdaway,29/Jul/25 7:19 PM,Lenovo - ThinkPad JP,Fixed,FW->Statistics,,,Closed,23.130,MHWFW00177_24.10.0.2,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,P2-High,timdaway,Update of statistics datapoint ccaDefers,Fixed
WIFI-671650,2651391,2-High,[Lenovo][ARL-H][FmP][Marie_Curie2] BSOD-0xD1 point to Wifi driver(Netwaw16.sys) --Netwaw16!hmfmCommonUpdateBssEntry,timdaway,15/May/25 3:12 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Connectivity,,,Closed,23.130.1.1," SBHWFW02226_23.150.0.3,CRWFW11230_99.0.99.2",Fillmore Peak 2 Blazar (BE201),,,,,,,,c97_spin2,windrv_tccb_review_done,,,,,,,,P1-Stopper,timdaway,"memalloc failures cause our ieMap to return NULL when searching for an IE.
in this case, we just accessed the IE right after getting it, without a null check, thus a BSOD occurred.",Fixed
WIFI-645737,2597539,2-High,[Lenovo][ARL-H][GfP2][Matterhorn2] The network(security:WPA3-personal) Connect Failed,timdaway,11/Apr/25 1:25 PM,Lenovo - ThinkPad JP,Fixed,UEFIDriver,,,Closed,SIT,"3.3.16.25195, 3.3.15.25202",Garfield Peak 2 Blazar (AX211),,,,,,,,,,,,,,,,,P2-High,timdaway,"2 Issues resolved:

1. Authentication Failure:
Handle scenarios where the SAE commit message is retransmitted (either STA→AP or AP→STA) in a more robust manner. The fix ensures that the second (duplicated) commit message from the AP is silently ignored, allowing the authentication process to continue.

2. Deauth frame is not sent to air when disconnecting:
Improve the deauth flow making sure the frame is transmitted to air.",Fixed
WIFI-626295,2555070,2-High,[Lenovo-DT][LCFC][Tiny11] [ARL-S][AX211]S3 enter time greater than 8 seconds and assert 0x6bfb,caizhiqi,17/Mar/25 3:06 PM,Lenovo - Desktop,Fixed,WiAMTDriver->WiMaD,,,Closed,23.100.0.4,2518.7.18.0.Signed,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,P1-Stopper,caizhiqi,"2 sec delay in entering SX due to synchronization with CSME, which is unnecessary when its policy is not enabled.

",Fixed
WIFI-576414,2456512,2-High,[Lenovo][Compal][YOGA Slim 7][LRL][BE201]RSSI test values can not change by ANT tool when AP create 3 6G band SSID,caizhiqi,13/Jan/25 11:57 AM,Lenovo - IdeaPad,Fixed,WinDriver->Performance,,,Closed,Wlan driver: 23.100.0.4,CRWFW10702_99.0.95.1  ,Fillmore Peak 2 Blazar (BE201),,,,,,,,windrv_tccb_not_required,,,,,,,,,P2-High,caizhiqi,"LQ value should be updated upon receiving a beacon, it is
checked if the beacon is from our associated APs BSSID (which fails, as the
BSSID is different between VAP and actual beacon in air)",Fixed
WIFI-562968,2429420,2-High,[ThinkPad_JP][Eiger-2][ARL-H][FmP2][24H2] BE201 device YB after S4 resume - 0x132e,timdaway,23/Dec/24 2:25 PM,Lenovo - ThinkPad JP,Fixed,System->MAC,,,Closed,FVT,SBHWFW01821_23.110.0.5G,Fillmore Peak 2 Blazar (BE201),,,,,,,,0xa5a5a5af,,,,,,,,,P2-High,timdaway,explained by or,Fixed
WIFI-551095,2406303,1-Critical,[Lenovo][Aladdin][LNL SIT][BE201][Win11] System sometimes show only one network band when connect MLO enabled AP,caizhiqi,11/Dec/24 10:59 AM,Lenovo - IdeaPad,Fixed,WinDriver->Connectivity,,,Closed,"23.90.0.2;23100",SBHWFW01872_23.120.0.3,Fillmore Peak 2 Blazar (BE201),,,,,,,,c94_spin1,windrv_tccb_review_done,,,,,,,,P2-High,caizhiqi,"Improve behavior during multi-link probe response during rejection of a link.
",Fixed
WIFI-548045,2399697,1-Critical,"[Lenovo][Aladdin][LNL SIT][BE201]Recoverable Assert 0x3F23 is observed each reboot cycle with 23.100, but no such assert with 23.90",caizhiqi,07/Dec/24 5:14 PM,Lenovo - IdeaPad,Fixed,FW->RFI,,,Closed,23.100.0.4, CRWFW10576_99.0.94.4,Fillmore Peak 2 Blazar (BE201),,,,,,,,c93_spin1,,,,,,,,,P2-High,kbanakar,Fix a race during back-to-back RFI commands that are being sent.,Fixed
WIFI-546162,2395122,2-High,[lenovo_lnl_eiger2]BE201 BSOD 0xD1 when playing video with WhitePearl tool,timdaway,04/Dec/24 1:57 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Connectivity,,,Closed,C91_23.90.0.2_DRV_f9342f_FW_0b0d88_228416,SBHWFW01653_23.100.0.4 Production version,Fillmore Peak 2 Blazar (BE201),,,,,,,,windrv_tccb_not_required,,,,,,,,,P2-High,timdaway,Miscalculation of pointers refcount when MLD AP changes from legacy to MLD mode,Fixed
WIFI-528912,2362122,2-High,"[Lenovo][Aladdin][LNL SIT][BE201][Win11] Cast page sometimes  show ""No displays are available"" when press Win+K after ""Wireless Display"" was installed.",caizhiqi,14/Nov/24 6:01 PM,Lenovo - IdeaPad,Fixed,WinDriver->WiFi Extensions,,,Closed,23.90.0.2,SBHWFW01789_23.110.0.4 ,Fillmore Peak 2 Blazar (BE201),Garfield Peak 2 Blazar (AX211),,,,,,,windrv_tccb_review_done,,,,,,,,,P2-High,caizhiqi,Improvements of Scan efficiency during p2p scan discovery,Fixed
WIFI-521571,2349646,2-High,"[Lenovo_IdeaPad][WenchangⅡ][LCFC][LNL][24H2][SIT][BE201]The unit occurred BSOD_0x10D(Netwaw16!utilHmacBssEntryCommonDtor) after running the Prime95+TAT test overnight, and then idle about 20 minutes later(FR: 2/4Units)",caizhiqi,07/Nov/24 1:00 PM,Lenovo - IdeaPad,Fixed,WinDriver->Connectivity,,,Closed,SIT,C92_23.100.0.2_DRV_6a9839_FW_095ebb_1159,Fillmore Peak 2 Blazar (BE201),,,,,,,,windrv_tccb_not_required,,,,,,,,,P2-High,caizhiqi,Fix for MLD AP record keeping in the BSS table data base.,Fixed
WIFI-520916,2346688,2-High,[lenovo/DT BU][In-house][ARL-S][BE200][ThinkCentreM90qGen6]HLK:System - PNP (disable and enable) with IO Before and After (Reliability) test fail,caizhiqi,04/Nov/24 7:16 PM,Lenovo - Desktop,Fixed,WinDriver->System flows,,,Closed,23.90.0.2,\\ger.corp.intel.com\ec\proj\ha\WCS\PotatoFarm\WinDRV\C92_23.100.0.3_DRV_f5f38d_FW_7e639b_1666,Gale Peak 2 (BE200),,,,,,,,HLK_Test,windrv_tccb_not_required,,,,,,,,P2-High,caizhiqi,"Duplicate root cause as WIFI-503974, but can't set as duplicate as this is a different customer",Fixed
WIFI-520712,2346148,1-Critical,[ThinkPad China][E14 gen5][Field_issue] Wi-Fi AX201 significantly slow access to E-Filling and SAP SQL data.,caizhiqi,04/Nov/24 11:02 AM,Lenovo - ThinkPad China,Fixed,WinDriver->Performance,,,Closed,23.60.1.2,SBHWFW01727_23.110.0.2,Harrison Peak 2 Solar (AX201),,,,,,,,c93_spin1,windrv_tccb_not_required,,,,,,,,P2-High,caizhiqi,"In LSO flow, the TCP headers had to set the PSH flag only for the last fragment.
For that, driver reset this bit for all the fragments and tried to restore TCP headers back to original in the last fragment.
But the ""original"" was overwritten by the last used header, thus we never really set the PSH bit again.",Fixed
WIFI-511524,2317787,2-High,[Thinkbook 14 G8 IRH+][RPL][AX203]BSOD(0x7e) occurs point to Netwtw14.sys when mobile hot spot is turned off,caizhiqi,21/Oct/24 1:44 PM,Lenovo - Desktop,Fixed,WinDriver->WiFi Extensions,,,Closed,26100.1742,NA_23.50.3.5_DRV_8c684b_FW_1e2333_223423,Sandy Peak (3168),,,,,,,,Lenovo_infra,windrv_tccb_not_required,,,,,,,,P2-High,caizhiqi,issue was already implemented in newer build.,Fixed
WIFI-495550,2280886,2-High,[Lenovo/DT BU][in-house][RPL-R][BE200][Tiny10_M90q-5]connect to 6G hide ssid AP too slow (2-3 minutes),caizhiqi,26/Sep/24 1:34 PM,Lenovo - Desktop,Fixed,WinDriver->Connectivity,,,Closed,"23.60.0.1;23.80.0.7",SBHWFW01631_23.100.0.3,Gale Peak 2 (BE200),,,,,,,,windrv_tccb_not_required,,,,,,,,,P2-High,caizhiqi,"Even though the original logs showed another issue, customer claims the fix for https://jira.idoc.intel.com/browse/WIFI-445053 resolved this issue.
Setting to implemented as requested.

If indeed it is the same issue, we can use the same root cause.
Otherwise, no real root cause can be filled :)",Fixed
WIFI-479724,2248865,1-Critical,[Lenovo][Compal][Ideapad S5P/S7P][ARL][BE201] WLAN device shows YB(0x20104009) when idle.,caizhiqi,05/Sep/24 4:48 PM,Lenovo - IdeaPad,Fixed,TOP->STEP,,,Closed,SBHWFW01338_23.80.0.4P_metadatafixed,SBHWFW01631_23.100.0.3,Fillmore Peak 2 Blazar (BE201),,,,,,,,c92_spin1,,,,,,,,,P2-High,caizhiqi,full URM solution implemented,Fixed
WIFI-468811,2223821,1-Critical,[Lenovo_IdeaPad][Tianzhu 16][LCFC][FVT][24H2][ARL][BE201]WLAN Show YB(Assert 0x20004009) after turn off and turn on WIFI,caizhiqi,20/Aug/24 3:40 PM,Lenovo - IdeaPad,Fixed,TOP->STEP,,,Closed,FVT,SBHWFW01631_23.100.0.3,Fillmore Peak 2 Blazar (BE201),,,,,,,,c92_spin1,,,,,,,,,P2-High,caizhiqi,implemented full URM solution,Fixed
WIFI-465691,2217007,2-High,[Lenovo][Wistron][MTL][GaP] WiFi icon will disappear from desktop lower right corner after idling to S0i3 [assert 0x505 0x508],timdaway,15/Aug/24 4:00 PM,Lenovo - ThinkPad JP,Fixed,TOP->STEP,,,Closed,All SKU can reproduce,23.120.0.3 PV,Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,P2-High,timdaway,"Fix STEP noise issues by removing DCDC modes.
",Fixed
WIFI-460321,2207439,2-High,[ThinkPad_JP][Thames-2][FmP][LNL][24H2] BSOD AV_Netwaw16!prvHeGetMutualBandWidthCapabilities,timdaway,09/Aug/24 12:09 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Connectivity,,,Closed,23.70.2.3_PV_HF_SBHWFW01294,SBHWFW01394_23.90.0.1,Fillmore Peak 2 Blazar (BE201),,,,,,,,Lenovo_cnct,windrv_tccb_not_required,,,,,,,,P2-High,timdaway,Proper handling of memory allocation failure while parsing beacon.,Fixed
WIFI-440285,2170887,2-High,[Lenovo-IdeaPad][LNL][QIXIA][FmP][S790]client can not receive UDP broadcast pkt by the tool “netassist” from hotspot host(BE200/BE201),caizhiqi,17/Jul/24 6:42 PM,Lenovo - IdeaPad,Fixed,WinDriver->Performance,,,Closed,23.60.5.7,SBHWFW01394_23.90.0.1,Fillmore Peak 2 Blazar (BE201),Gale Peak 2 (BE200),,,,,,,windrv_tccb_review_done,,,,,,,,,P2-High,caizhiqi,bcast packet used on mgmt q which mapped to fifo 10 -> no cs calc on these packets,Fixed
WIFI-422775,2131184,2-High,[Lenovo-IdeaPad][LNL][QIXIA][win11][FVT][FmP2]wlan block SoC enter to PC10 during idle test,caizhiqi,19/Jun/24 2:13 PM,Lenovo - IdeaPad,Fixed,FW->Infra,,,Closed,23.65.0.2,M_99.0.90.1_DRV_514d41_FW_a0d42a_214759,Fillmore Peak 2 Blazar (BE201),,,,,,,,postM_noTask,,,,,,,,,P2-High,caizhiqi,https://jira.idoc.intel.com/browse/WIFI-417459,Fixed
WIFI-415653,2100322,2-High,"[ThinkPad JP][Thames2][LNL][FMP][24H2] BSOD(Stop code: KMODE_EXCEPTION_NOT_HANDLED, BugCheck:1E) after S5",timdaway,22/May/24 1:02 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Performance,,,Closed,C88_23.60.0.3_DRV_b17d37_FW_5c6dc7_206784,CRWFW9748_99.0.90.1,Fillmore Peak 2 Blazar (BE201),,,,,,,,2023_stab_tccb_required,dp_retro_step,TCCB_DONE,,,,,,,P1-Stopper,timdaway,"in case of un-initialized  pHwWritePtr,
rfdQueueProcessFragments returned status failure,
but this status was not checked in caller (prvIsrHandlerRoutineRx).
so when prvIsrHandlerRoutineRx called rfdqIsQueueEmptyApi
it de-referenced the NULL pointer and we got BSOD.",Fixed
WIFI-409998,2057077,2-High,[Lenovo-IdeaPad][LNL][QIXIA][win11][FVT][FmP]BSOD(Netwnw16!prvJobScheduler_jobExecuter) with 0x139 when doing S4,caizhiqi,29/Apr/24 2:06 PM,Lenovo - IdeaPad,Fixed,WinDriver->System flows,,,Closed,23.55.0.1,CRWFW9575,Fillmore Peak 2 Blazar (BE201),,,,,,,,Lenovo_infra,,,,,,,,,P2-High,gandavar,"SW error and resume interrupt arrived at the same time
so 2 jobs were submitted where the first set to NULL the CB functions of resume. so the second job, when it ran, tried to call a NULL pointer",Fixed
WIFI-392726,2000109,2-High,[Lenovo][Compal][Thinkbook gen6+][MTL] WLAN device show YB(Assert 0x515) when run stress MS/CB,caizhiqi,05/Mar/24 1:45 PM,Lenovo - IdeaPad,Fixed,TOP->Integration,,,Closed,"23.0.6.4,23.20,23.30.2.1",REL_23.40,Garfield Peak 2 Magnetar (AX211),,,,,,,,,,,,,,,,,P2-High,caizhiqi,,Fixed
