Issue key,Issue id,Custom field (Exposure),Summary,Reporter,Created,Custom field (Customer Name),Custom field (State Reason),Component/s,Component/s,Custom field (Closed Reason),Status,Custom field (Found in build),Custom field (Fix in Build),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Assignee,Custom field (Root Cause),Resolution
WIFI-849226,3085060,2-High,[HP][IEC][Merino][Win11 25H2][PTL][WhP2/GfP2][SIO2455614] Device sometimes cannot connect to WPA3-Enterprise EAP-TLS Unifi AP,flee5,09/Mar/26 1:55 PM,,Fixed,UEFIDriver,,,Closed,3.4.01.25474,3.4.04.26176,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,flee5,"AP behavior:
After STA G3, the AP retains the old session state and has an SA Query in progress. As a result, it correctly rejects the STA Association Request with status 30 (comeback). The STA waits for the comeback interval and then retries the association. At this point, since the interval has elapsed, the AP should accept the request. Instead, the AP sends a Deauthentication frame with reason code 6 (CLASS2_FRAME_FROM_NONAUTH_STA), which is non-compliant behavior.

Why the reconnect fails:
The driver correctly treats reason code 6 as recoverable and initiates a fresh connection attempt. However, a race condition in the driver can cause this retry to fail, leading to “No suitable network found” / “No enabled networks,” and don't try to do actual connection.
In addition, when we retrigger a connection, we are not preserving the connect token, so even if we'll be able to connect the driver will eventually fail. Fix both issues.",Fixed
WIFI-846914,3023117,2-High,[Surface][JDM1][1252912][PTL][FmP2][NDT] Assertion in NDT Tool,cmnagara,02/Feb/26 5:36 PM,,Fixed,WinDriver->USC,,,Verify,24.20.0.4. 24.10.0.3,CRWFW12386_24.50.0.1,Fillmore Peak 2 Scorpius (BE201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,cmnagara,dup rc,User Verified
WIFI-845280,3076058,2-High,[HP][26C2 Salute LNL][AX211] 6GHz RX throughput reaches only about 1545 Mbps and fails to meet HP’s 1700 Mbps specification,flee5,01/Mar/26 3:59 PM,HP,Fixed,WinDriver->Performance,,,Closed,24.20.0.4,24.50.0.3,Garfield Peak 2 Blazar (AX211),,,,,,,,,,,,,,,,,,,,,,24.50.0_Rev2_Candidate,windrv_tccb_not_required,,,,,,,,,P2-High,flee5,not properly configure smPowerSave field in HE Extended Capabilities IE,Fixed
WIFI-843819,3073506,1-Critical,"[Lenovo ThinkPad China][LCFC][WCL][AX211]EUT occur BSOD 0x7E(Netwtw16!IntelWiFiPcwCloseMacIdx0LinkQuality) during longrun AC-FB stress test(FR: 1/ 18units, 1/3497 cycles)",caizhiqi,25/Feb/26 7:14 PM,Lenovo - ThinkPad China,Fixed,WinDriver->Performance,,,Closed,24.20.1.2,CRWFW12319_24.40.0.2,Garfield Peak 2 Blazar-I (AX211),,,,,,,,,,,,,,,,,,,,,,24.40_Rev#2,windrv_tccb_not_required,,,,,,,,,P2-High,caizhiqi,missing nullity check to the content of the pointer,Fixed
WIFI-837812,3060104,2-High,[GU606A_BE211] Intermittent Tx Power Delta Limits read failure after country code switches in factory Wi-Fi test,henrysux,13/Feb/26 11:10 AM,Asus,Fixed,FW->Scan,,,Closed,MHWFW00399_24.20.0.4G,MHWFW00515_24.30.1.1,Whale Peak 2 Blazar-I (BE211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,idoberge,"It is possible that between the time a channel was verified to
be valid for scanning and between the time the channel is
actually scanned, an MCC change has occurred and the channel
is no longer valid for scanning.

To handle such a race, check the regulatory DB before actually
starting to scan the channel and if the channel is no longer
valid do not scan it.",Fixed
WIFI-829330,3025670,1-Critical,"Wi-Fi device YB after 0x122e on resume fails to recover, error code 10, reboot restores on AX211/Win11",idoberge,05/Feb/26 3:05 AM,Honor,Fixed,WinDriver->System flows,,,Verify,24.10.0.4,CRWFW12162_24.40.26073.855,Garfield Peak 2 Blazar (AX211),,,,,,,,,,,,,,,,,,,,,,0xa5a5a5af,,,,,,,,,,P1-Stopper,idoberge,"When encountering 0xa5a5a5af we were unable to read or write from CSR.
Before the change we would trigger PRODUCT reset only if encountered 0xFFFFFFFF.
The updated handling would trigger PRODUCT reset on inability to write to CSRs, which in also the case for 0xa5a5a5af.
This would allow us to recover the 0xa5a5a5af (unlike CORE reset) and on next enable we'd be able to operate, where as with CORE the issue didn't resolve and we would fail init being unable to detect HW properly.",User Verified
WIFI-828131,3022911,1-Critical,[MSFT][UID 1252477][PTL][FmP] SoC stuck in C2 state after changing Wi-Fi SAR indexes with TAS enabled on Windows 11 25H2,timdaway,02/Feb/26 4:58 PM,Microsoft,Fixed,FW->PHY,,,Closed,24.20.0.4,MHWFW00482_24.30.0.2 CRWFW12162_24.40.26073.855,Fillmore Peak 2 Scorpius (BE201),,,,,,,,,,,,,,,,,,,,,,24.20.2_HF,24.30_Rev2,24.30.0_Planned,,,,,,,,P2-High,timdaway,"In the scenario where SAR is changing, GMPD will request paging. But when TAS is enabled, GMPD doesn't care about SAR limit since TAS can decide to ignore SAR limit, so GMPD must calibrate without SAR consideration. So when SAR has changed, GMPD requested paging. But if TAS is enabled, GMPD won't build a new plan. The bug is that if a plan is not built, GMPD won't relinquish the paging request - creating a never ending paging request (low LTR). To fix it, we won't request paging if TAS is enabled. Just save the SAR limit in GMPD manager for when TAS will be disabled.",Fixed
WIFI-824640,3014701,2-High,"GNNR command fails with error 258 on Arrow Lake Wi-Fi, 10% repro, recovers after driver reset",frankfcy,23/Jan/26 10:09 AM,Dell,Fixed,WinDriver->Connectivity,,,Closed,23.160,CRWFW12162_24.40.26073.855,Fillmore Peak 2 Blazar (BE201),Garfield Peak 2 Blazar (AX211),Garfield Peak 2 Magnetar (AX211),Garfield Peak 2 Scorpius (AX211),,,,,,,,,,,,,,,,,,,windrv_tccb_review_done,,,,,,,,,,P2-High,frankfcy,"not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode.",Fixed
WIFI-822445,3009474,2-High,[Honor][LUX][NvwaC][RPL][AX211][WiFi] The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,chuchar1,19/Jan/26 4:47 PM,Honor,Fixed,WinDriver->System flows,,,Closed,24.10.0.4, MHWFW00399_24.20.0.4,Garfield Peak 2 Blazar (AX211),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_not_required,,,,,,,,,,P2-High,chuchar1,"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD",Fixed
WIFI-821675,3007575,2-High,[Samsung][LNL][BE201][P251205-07630] Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,kjfang,16/Jan/26 2:11 PM,Samsung,Fixed,WinDriver->WiFi Extensions->P2PClient,,,Closed,23.160.0.4,CRWFW12146_24.40.26063.846,Fillmore Peak 2 Blazar (BE201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,kjfang,"due to a workaround for MSFT bug we rejected any p2p client task connect with bRoamRequest

As MSFT should be ok now, we shall allow it again",Fixed
WIFI-817117,2996593,2-High,[ASUS][GU405AW][PTL][WhP2][25H2] FW Assert 0x3e15 during the CITU test,timdaway,06/Jan/26 6:19 PM,Asus,Fixed,TOP->FW,,,Closed,24.10.0.4,MHWFW00604_24.60.26193.1407,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,timdaway,"TOP-18062 
In the move to disable flow for both CNVI and CNVR (for all directions I2I, I2R, R2R, R2I) after these instructions:           
1. INPUTS_OVRD<r2d2_step_tx_allow_dis[1:0]> 
2. INPUTS_OVRD<r2d2_step_tx_clk_req[1:0]>
3. Wait 1us
add a loop for 5 iterations to check the TX PMU state and break as soon it is found == 0x1(DISABLE) and then continue the rest of the flow. If after 5 iterations the loop doesn't break then let the assert happen.
",Fixed
WIFI-817045,2996372,1-Critical,"[Thinkpad][Field][ARL][BE201][X13GEN6][24H2] X13Gen6 BE201 frequently roams to low RSSI APs, causing slow Wi-Fi on Windows 11 24H2",timdaway,06/Jan/26 3:58 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Connectivity,,,Closed,24.10.0.4,MHWFW00482_24.30.0.2,Fillmore Peak 2 Blazar (BE201),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_not_required,,,,,,,,,,P2-High,timdaway,too much weight for channel load and too big penalty for 11v request by AP,Fixed
WIFI-817026,2996468,2-High,[FCCL][Sensing] System fails to wake via WoA when “Turn off my screen when I leave” is disabled on Wi-Fi,jackleex,06/Jan/26 3:04 PM,Fujitsu,Fixed,WinDriver->Sensing,,,Closed,Alpha2.07,MHWFW00482_24.30.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.30_Rev2,24.30.0_Planned,,,,,,,,,P2-High,jackleex,"'
When in native UI we turn off WAL option it can happen during we are
in spd / algo 1 and we are in proxmity, this will make us stuck in
proxmity and we will not report the status to ISH correctly, causing
the screen not to turn on.
",Fixed
WIFI-814700,2990335,2-High,"[Workshop][Panasonic][CITU] assert 0x3e15 when run CITU, the CITU result is PASS ",jackleex,02/Jan/26 4:18 PM,Panasonic,Fixed,TOP->FSEQ,,,Closed,24.10,C104_24.40.0.4_DRV_84bb41_FW_d2fd69_73490,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,jackleex,,Fixed
WIFI-812019,2985403,2-High,[Honor][Luxshare][ZhuqueC&XuanwuC][WiFi][AX211]The TIS is abnormal when the OTA test is in Channel 149-165,chuchar1,29/Dec/25 6:57 PM,Honor,Fixed,FW->PHY,,,Closed,24.10.4.1,CRWFW12162_24.40.26073.855,Garfield Peak 2 Blazar (AX211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,chuchar1,"In case we are aborting PAPD from PHY remove command,
we must restore the calibration enablement status since it won't be restored otherwise.",Fixed
WIFI-811762,2982491,1-Critical,[Lenovo][Kailash][PTL/BE211][25H2]Auth failed when doing connect and ping stress test,caizhiqi,29/Dec/25 12:35 PM,Lenovo - IdeaPad,Fixed,FW->Data Path,,,Closed,24.10.3.3/24.10.3.5,MHWFW00482_24.30.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,LenovoFocus,LenovoPTLFocus,,,,,,,,,P2-High,caizhiqi,"https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/252821
It is a WA for the case that before association is completed, the FW stays in mimo mode and does not go to DSMPS. So, the 2 ants are active. It solves the problem of authentication rx frame receive error.",Fixed
WIFI-810631,2983384,2-High,[Dell][SanctauryMLK] BSOD DRIVER_POWER_STATE_FAILURE (0x9F) during S4 stress on Arrow Lake-Hx with Killer 1750w Wi-Fi,frankfcy,27/Dec/25 11:05 AM,Dell,Fixed,WinDriver->System flows,,,Closed,25H2,CRWFW12045_99.0.103.4 MHWFW00385_24.20.0.4,Gale Peak 2 (BE200),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_not_required,,,,,,,,,,P2-High,frankfcy,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Fixed
WIFI-810250,2982421,1-Critical,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2]Recoverable assert 0x20003207 occurred during Miracast Test,caizhiqi,26/Dec/25 4:00 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.3.3,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.10.3.7_Lenovo,LenovoPTLFocus,postM_noTask,,,,,,,,P2-High,caizhiqi,"Change in requirement to increase the length of the P2P TBTT event in case of 3207.
",Fixed
WIFI-807667,2977596,1-Critical,"[Lenovo][Kailash][PTL/BE211][25H2][Yoga Slim 7 Ultra_SIT]WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)",caizhiqi,22/Dec/25 3:14 PM,Lenovo - IdeaPad,Fixed,WinDriver->Connectivity,,,Closed,24.10.3.3/24.10.3.5,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.10.3.6_Lenovo,24.20_Rev3,LenovoPTLFocus,windrv_tccb_review_done,,,,,,,P1-Stopper,caizhiqi,"MLD requires WPA3 security.
MLD links with WPA2 are misbehaving, thus they are marked as such and they are no longer associated with each other in under the MLD AP.
Toggling between WPA2/3 caused the database which holds this information to go out of sync, so when the links became WPA3 we connected as MLD but without being aware of the other links in the same MLD.",Fixed
WIFI-807648,2977579,3-Medium,[HP][Wistron][Chiharu26C1][UEFI] The AP will be disconnected after WiFi connected and idle for 5~8 minutes while CSR feature executing period in Intel BE211 SKU (QS silicon) SKU,flee5,22/Dec/25 1:50 PM,HP,Fixed,FW->Data Path,,,Closed,UEFI-Release-3.4.01.25471G,MHWFW00604_24.60.26193.1407,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3-Medium,flee5,using ref bssid before it was assigned,Fixed
WIFI-805746,2972399,1-Critical,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect from 2.4G AP when plug-in a specific 2.4G wireless ROG keyboard,caizhiqi,18/Dec/25 2:20 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.3.3, MHWFW00349_24.10.3.5,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.20_Planned,LenovoPTLFocus,postM_noTask,,,,,,,,P2-High,caizhiqi,"couldn't hear the beacon - requirement changed

NDP after 4
driver disconnect after 6",Fixed
WIFI-804612,2970615,2-High,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]Recoverable Assert 0x4433 occurred when doing Warm Boot stress test,caizhiqi,16/Dec/25 5:14 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.3.3,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.10.3.6_Lenovo,24.20_Rev3,LenovoPTLFocus,postM_noTask,,,,,,,P1-Stopper,caizhiqi,"We had bug in c101 (already fixed in c102)

That NOA that come from scan can be parsed when we handle our beacon

This use case we didn't see before

Seems one of the AP there, turn on oppPS

When we handle our beacon after got this beacon with oppPS=1 it will cause queues suspend

and we will not resume the queues as the oppPS enabled will clear right in next beacon 

++++++++++++++++++++++++++++++++++++++++==
This bug is a DUP of WIFI-754031",Fixed
WIFI-801012,2961980,1-Critical,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2]BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test,caizhiqi,10/Dec/25 1:32 PM,Lenovo - IdeaPad,Fixed,WinDriver->System flows,,,Closed,24.10.0.4,24.10.3.4,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,LenovoFocus,LenovoPTLFocus,windrv_tccb_not_required,,,,,,,,P1-Stopper,caizhiqi,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Fixed
WIFI-800210,2960414,1-Critical,[LG][15Z90U][PTL/AX211/Win11 24H2] Wi-Fi TX throughput drops after reboot (Failure rate: 3/10),kjfang,09/Dec/25 4:24 PM,LG,Fixed,FW->PHY,,,Closed,WiFi driver: 24.0.2.1(MHWFW00176G),MHWFW00486_24.20.2.1 MHWFW00482_24.30.0.2,Garfield Peak 2 Scorpius (AX211),,,,,,,,,,,,,,,,,,,,,,24.20.2_HF,,,,,,,,,,P2-High,kjfang,PHY remove's PAPD abort flow complete didn't restore PAPD calibration event trigger,Fixed
WIFI-800123,2959364,2-High,"[Lenovo][Kailash][PTL/BE211][25H2]Recoverable assert 0x2010351E occurred when doing ""MS<-->Resume Ping"" stress test",caizhiqi,09/Dec/25 11:02 AM,Lenovo - IdeaPad,Fixed,WinDriver->Performance,,,Closed,24.0.2.1,CRWFW12045_99.0.103.4 MHWFW00385_24.20.0.4,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.20_Planned,24.20_Rev3,LenovoFocus,LenovoPTLFocus,windrv_tccb_review_done,,,,,,P1-Stopper,caizhiqi,"Description: The race is as follows
Start conditions: tid T for peer P has a valid back aggrement with drv baid DB and fw baid FB
Delba is received for T over P.
delba sync cmd is sent to FW
FW removed FB
core X and core Y handle the delba sync notification at the same time
both getting to rxAggMgrInvalidateStateForBaidApi at the same time.
each stores pAggMgrContext->rxAggMgrBaidIndexTable[baidIndex].delbaStatePerQueueBitmap in a local memory region before the second core reset the bit.
(so in this scenario, both holding the value 3)
each of them is seeing the he is not the last queue, and assumes that the another sync notif will arrive soon and will invalidate the baid entry.
leading to a scenario where the ent",Fixed
WIFI-796164,2951176,2-High,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect when doing MS test,caizhiqi,02/Dec/25 5:53 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.1.3/24.0.2.1,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.10.3.5_Lenovo,LenovoFocus,LenovoPTLFocus,postM_noTask,,,,,,,P1-Stopper,caizhiqi,"We disconnect from APs that don't send beacons unless we still have
traffic. In case there is no traffic, we'll disconnect after 4 missed
beacons, In order to create traffic, send an NDP (using the keep alive infra) to
clear the consecMissedBconsSinceLastRxFromAP counter in case the NDP is
ACK'ed.",Fixed
WIFI-795954,2950794,1-Critical,"[Lenovo-Ideapad][YOGA9P 16][PTL][25H2]0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",caizhiqi,02/Dec/25 10:04 AM,Lenovo - IdeaPad,Fixed,System->PHY,,,Closed,SIT,MHWFW00335_24.20.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.20_Rev2,LenovoFocus,LenovoPTLFocus,,,,,,,,P2-High,caizhiqi,retry of PLL lock,Fixed
