ips_title,human_category,predicted_category,technology,predicted_category_hint,source_file
"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles",Connectivity,YB/Lost,,,golden_training_set_20260613.csv
[WCL][Roma] DUT still need to be connected under MS,WowLAN,Connectivity,,,golden_training_set_20260613.csv
Bluetooth headset is 3 meters away and the sound is lag,Connectivity,Performance,,,golden_training_set_20260613.csv
[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2]TV image occur lag during PC projecting  XiaoMi TV and play local video,Miracast,Performance,,,golden_training_set_20260613.csv
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][BT][25H2]The coldboot stress test resulted in a 0x9f BSOD.,Roaming,BSOD,,,golden_training_set_20260613.csv
"Play music with BT Headset/Speaker no sound, and device show yellow bang.",Connectivity,YB/Lost,,,golden_training_set_20260613.csv
Snap layout feature support,Killer,Connectivity,,,golden_training_set_20260613.csv
"After DUT S4 for a period of time and wakes up, the performance is abnormal when the WIFi65G frequency band 80MHZ/160MHz bandwidth",Performance,Connectivity,,,golden_training_set_20260613.csv
The pdb debug file exists in the package UWD\Win64\Drivers\ICPSComponent\Symbols directory,ICPS,Connectivity,,,golden_training_set_20260613.csv
ChainB power is different from BIOS SAR setting,RF,BIOS,,,golden_training_set_20260613.csv
BUGCODE_NDIS_DRIVER_LIVE_DUMP (15e) during PST testing,BSOD,YB/Lost,,,golden_training_set_20260613.csv
Wi-Fi low tpt on 6Ghz 11be 320MHz bandwidth,Performance,Sensing,,,golden_training_set_20260613.csv
"[Lenovo_IdeaPad][LCFC][NVL-H][ Chaplin A1][26H1][EVT][BE211] BT HID device no function during normal use,FR: 1/2Units",Connectivity,YB/Lost,,,golden_training_set_20260613.csv
BT exception causeDUT stuck at bootup screen for a long time) - Repeated Boot up events DSBR command,System Hang,OEM Tools,,,golden_training_set_20260613.csv
DUT 100% fail to bootup when BIOS BT config to PCIe (boot flow stuck at CNViBTConfig),BSOD,UEFI,,,golden_training_set_20260613.csv
"Frequent assert 0x4446 when host is sharing the 5G hotspot, 3/3Units, 3/3cycles in noisy environment",YB/Lost,Connectivity,,,golden_training_set_20260613.csv
T-put HL TX issue,Performance,OEM Tools,,,golden_training_set_20260613.csv
BT Device Disappear CS+Wifi AP connected,Connectivity,YB/Lost,,,golden_training_set_20260613.csv
